Author,Section,Question,Answer
Original Text,4.6,What does naive Bayes have an important similarity to?,language modeling
Original Text,4.6,A naive Bayes model can be viewed as a set of class-specific what?,unigram language models
Original Text,4.6,What do the likelihood features from the naive Bayes model assign to each word P(word|c)?,probability
Original Text,4.7.0,What type of detection tasks are used to evaluate text classification?,binary
Original Text,4.7.0,What is the definition of a spam category?,positive
Original Text,4.7.0,What is another name for spam detection?,negative
Original Text,4.7.0,What do we need to know for each item?,whether our system called it spam or not
Original Text,4.7.0,What do we need to know?,whether the email is actually spam or not
Original Text,4.7.0,What do we refer to as the gold labels?,human-defined labels
Original Text,4.7.0,What are the human labels for each document that we are trying to match?,gold labels
Original Text,4.7.0,What is the name of the company that you're the CEO of?,Delicious Pie
Original Text,4.7.0,What is the positive class?,tweets about Delicious Pie
Original Text,4.7.0,What do we need in order to know how well our spam detector is doing?,metric
Original Text,4.7.0,What is a table for visualizing how an algorithm performs with respect to the human gold labels?,confusion matrix
Original Text,4.7.0,What is a table for visualizing how an algorithm performs with respect to the human gold labels?,confusion matrix
Original Text,4.7.0,What is a table for visualizing how an algorithm performs with respect to the human gold labels?,confusion matrix
Original Text,4.7.0,What are documents that are indeed spam that our system correctly said were spam?,true positives
Original Text,4.7.0,What are documents that are indeed spam but our system incorrectly labeled as non-spam?,False negatives
Original Text,4.7.0,To the bottom right of the table is the equation for what percentage of all the observations (for the spam or pie examples that means all emails or tweets,accuracy
Original Text,4.7.0,What do we generally don't use accuracy for?,text classification tasks
Original Text,4.7.0,What is a large majority of email?,spam
Original Text,4.7.0,How many tweets are discussing their love or hatred for our pie?,100
Original Text,4.7.0,What would a simple classifier classify every tweet as?,not about pie
Original Text,4.7.0,What is the accuracy of a simple classifier?,99.99%
Original Text,4.7.0,What is the level of accuracy in a classifier?,accuracy
Original Text,4.7.0,How many false negatives would a classifier have?,"999,900"
Original Text,4.7.0,What would a 'no pie' classifier be useless for?,it wouldn't find a single one of the customer comments
Original Text,4.7.0,What is a common situation in the world where accuracy is not a good metric?,rare
Original Text,4.7.0,What are the two other metrics shown in Fig. 4.4?,precision and recall
Original Text,4.7.0,What are the two other metrics shown in Fig. 4.4?,precision and recall
Original Text,4.7.0,"What measures the percentage of items that the system detected (i.e., the system labeled as positive) that are in fact positive?",Precision
Original Text,4.7.0,What measures the percentage of items actually present in input that were correctly identified by the system?,Recall
Original Text,4.7.0,What classifier has a terrible recall of 0?,nothing is pie
Original Text,4.7.0,"What is the accuracy of the ""nothing is pie"" classifier?",99.99%
Original Text,4.7.0,"What is a problem with the ""nothing is pie"" classifier?",relevant tweets
Original Text,4.7.0,What do precision and recall emphasize?,true positives
Original Text,4.7.0,There are many ways to define a single metric that incorporates aspects of what?,precision and recall
Original Text,4.7.0,What is the simplest way to define a single metric that incorporates aspects of precision and recall?,F-measure
Original Text,4.7.0,What parameter differentially weights the importance of recall and precision?,The B parameter
Original Text,4.7.0,What value favors recall?,B>1
Original Text,4.7.0,What is the most commonly used metric when precision and recall are equally balanced?,FB=1 or just F1
Original Text,4.7.0,What does the F-measure come from?,a weighted harmonic mean of precision and recall
Original Text,4.7.0,What is the reciprocal of the arithmetic mean of reciprocals?,The harmonic mean of a set of numbers
Original Text,4.7.0,Why is the harmonic mean used?,because it is a conservative metric
Original Text,4.7.0,What does the harmonic mean weigh more heavily than the arithmetic mean?,lower of the two numbers
Original Text,4.7.1,"Up to now, we have been describing text classification tasks with how many classes?",two
Original Text,4.7.1,What do lots of classification tasks in language processing have?,more than two classes
Original Text,4.7.1,What are the three classes for sentiment analysis?,"positive, negative, neutral"
Original Text,4.7.1,What is already a multi-class classification algorithm?,naive Bayes algorithm
Original Text,4.7.1,What definitions will we need to modify to make the naive Bayes algorithm a multi-class classification algorithm?,precision and recall
Original Text,4.7.1,What is the example confusion matrix for in Fig. 4.5?,"hypothetical 3-way ""one-of"" email categorization decision"
Original Text,4.7.1,"What are some examples of ""one-of"" email categorization decisions?","urgent, normal, spam"
Original Text,4.7.1,What did the system mistakenly label as urgent?,one spam document
Original Text,4.7.1,How can we derive a single metric that tells us how well the system is doing?,combine these values in two ways
Original Text,4.7.1,"What computes the performance for each class, and then averages over classes?",macroaveraging
Original Text,4.7.1,In what method do we collect the decisions for all classes into a single confusion matrix?,microaveraging
Original Text,4.7.1,What figure shows the confusion matrix for each class separately?,4.6
Original Text,4.7.1,What figure shows the confusion matrix for each class separately?,4.6
Original Text,4.7.1,What class dominates a microaverage?,more frequent class
Original Text,4.7.1,What better reflects the statistics of the smaller classes?,macroaverage
Original Text,4.8,What is another name for the development test set?,devset
